Name,Academics,Athletics,Diversity,Professors,Safety,Student_Life,Value
Massachusetts Institute of Technology,1,0,13,14,0,41,1
Harvard University,2,0,30,9,0,36,3
Stanford University,3,23,3,12,0,48,2
Yale University,4,0,15,1,0,32,7
Princeton University,5,0,25,7,0,0,4
University of Chicago,6,0,34,8,0,0,0
Brown University,7,0,36,2,0,11,37
Duke University,8,18,0,3,0,2,6
Dartmouth College,9,0,0,6,0,24,19
Columbia University,10,0,12,15,0,17,40
University of Pennsylvania,11,0,0,13,0,3,16
Northwestern University,12,0,0,5,0,0,22
Rice University,13,0,20,4,0,45,10
Vanderbilt University,14,0,38,10,0,31,33
Washington University in St. Louis,15,0,0,20,0,46,32
Johns Hopkins University,16,0,43,11,0,0,38
Cornell University,17,0,0,16,0,0,21
Pomona College,18,0,1,31,0,0,42
California Institute of Technology,19,0,0,17,0,0,12
University of Southern California,20,6,17,23,0,26,0
Carnegie Mellon University,21,0,29,22,0,0,13
University of Notre Dame,22,22,0,24,0,25,17
Bowdoin College,23,0,0,0,0,0,47
Swarthmore College,24,0,7,0,0,0,0
Georgetown University,25,0,0,39,0,0,30
Barnard College,26,0,0,34,0,0,0
Claremont McKenna College,27,0,0,43,0,0,27
Middlebury College,28,0,0,35,0,0,0
Haverford College,29,0,0,37,0,0,0
Emory University,30,0,27,18,0,0,0
Tufts University,31,0,0,0,0,0,24
Harvey Mudd College,32,0,39,48,0,0,9
Washington and Lee University,33,0,0,19,0,0,5
University of Michigan - Ann Arbor,34,26,0,44,0,30,48
Wellesley College,35,0,0,0,0,0,0
Colby College,36,0,0,27,0,0,0
Amherst College,37,0,5,0,0,0,0
New York University,38,0,8,45,0,0,0
Grinnell College,39,0,31,21,0,0,0
University of California - Los Angeles,40,32,0,29,0,27,0
Davidson College,41,0,0,0,0,0,0
Carleton College,42,0,0,0,0,0,49
University of Virginia,43,16,0,26,0,35,43
Hamilton College,44,0,0,0,0,0,0
Bates College,45,0,0,0,0,0,0
Wesleyan University,46,0,0,0,0,0,0
University of California - Berkeley,47,0,0,0,0,0,0
Williams College,48,0,0,0,0,0,31
United States Air Force Academy,49,0,0,0,0,0,0
Georgia Institute of Technology,50,0,0,0,0,0,11
University of Florida,0,1,0,0,0,40,0
The University of Alabama,0,2,0,0,0,37,0
Louisiana State University,0,3,0,0,0,0,0
University of Oklahoma,0,4,0,0,0,44,0
University of North Carolina at Chapel Hill,0,5,0,0,0,12,0
University of Connecticut,0,7,0,0,0,0,0
Florida State University,0,8,0,0,0,33,0
The Ohio State University,0,9,0,0,0,38,0
University of Maryland - College Park,0,10,0,0,0,0,0
Clemson University,0,11,0,0,0,16,0
University of Texas - Austin,0,12,0,0,0,39,0
University of Miami,0,13,35,28,0,47,0
Michigan State University,0,14,0,0,0,5,0
Baylor University,0,15,0,0,0,0,0
Auburn University,0,17,0,0,0,4,0
Villanova University,0,19,0,0,0,0,45
University of Kentucky,0,20,0,0,0,0,0
University of Louisville,0,21,0,0,0,0,0
University of South Carolina,0,24,0,0,0,15,0
Penn State,0,25,0,0,0,34,0
Syracuse University,0,27,0,0,0,0,0
University of Kansas,0,28,0,0,0,0,0
University of Wisconsin,0,29,0,0,0,29,0
North Dakota State University,0,30,0,0,0,0,0
Texas A&M University,0,31,0,0,0,10,0
