Name,Location,Acceptance_Rate,Net_Price,SAT_Range
Barnard College,"NEW YORK, NY",14%,"$30,572",1350-1520
Claremont McKenna College,"CLAREMONT, CA",10%,"$24,456",1360-1510
Middlebury College,"MIDDLEBURY, VT",22%,"$24,517",1340-1520
Haverford College,"HAVERFORD, PA",18%,"$25,215",1360-1520
Emory University,"ATLANTA, GA",19%,"$25,672",1380-1530
Tufts University,"MEDFORD, MA",15%,"$26,280",1390-1540
Harvey Mudd College,"CLAREMONT, CA",14%,"$39,411",1490-1570
Washington and Lee University,"LEXINGTON, VA",19%,"$23,301",1360-1500
University of Michigan - Ann Arbor,"ANN ARBOR, MI",23%,"$17,357",1340-1530
Wellesley College,"WELLESLEY, MA",22%,"$21,614",1350-1520
Colby College,"WATERVILLE, ME",10%,"$18,552",1380-1520
Amherst College,"AMHERST, MA",12%,"$18,832",1430-1560
New York University,"NEW YORK, NY",21%,"$45,417",1370-1540
Grinnell College,"GRINNELL, IA",19%,"$32,091",1370-1540
University of California - Los Angeles,"LOS ANGELES, CA",12%,"$15,718",1300-1530
Davidson College,"DAVIDSON, NC",20%,"$28,615",1300-1460
Carleton College,"NORTHFIELD, MN",19%,"$31,547",1360-1540
University of Virginia,"CHARLOTTESVILLE, VA",24%,"$17,579",1340-1520
Hamilton College,"CLINTON, NY",18%,"$23,936",1380-1510
Bates College,"LEWISTON, ME",14%,"$26,451",1385-1460
Wesleyan University,"MIDDLETOWN, CT",21%,"$22,845",1300-1480
University of California - Berkeley,"BERKELEY, CA",17%,"$19,329",1310-1530
Williams College,"WILLIAMSTOWN, MA",13%,"$17,303",1410-1550
United States Air Force Academy,"USAF ACADEMY, CO",13%,"$20,000",1220-1430
Georgia Institute of Technology,"ATLANTA, GA",21%,"$16,883",1300-1510
Massachusetts Institute of Technology,"CAMBRIDGE, MA",7%,"$20,465",1510-1570
Harvard University,"CAMBRIDGE, MA",5%,"$18,030",1460-1570
Stanford University,"STANFORD, CA",4%,"$16,779",1440-1570
Yale University,"NEW HAVEN, CT",6%,"$18,073",1460-1570
Princeton University,"PRINCETON, NJ",6%,"$18,712",1460-1570
University of Chicago,"CHICAGO, IL",6%,"$36,584",1500-1570
Brown University,"PROVIDENCE, RI",7%,"$27,218",1440-1570
Duke University,"DURHAM, NC",8%,"$24,386",1480-1570
Dartmouth College,"HANOVER, NH",8%,"$23,869",1440-1560
Columbia University,"NEW YORK, NY",5%,"$21,828",1440-1570
University of Pennsylvania,"PHILADELPHIA, PA",8%,"$24,771",1450-1560
Northwestern University,"EVANSTON, IL",9%,"$26,196",1440-1550
Rice University,"HOUSTON, TX",9%,"$20,335",1470-1570
Vanderbilt University,"NASHVILLE, TN",9%,"$25,855",1460-1560
Washington University in St. Louis,"SAINT LOUIS, MO",14%,"$27,108",1480-1560
Johns Hopkins University,"BALTIMORE, MD",11%,"$28,999",1460-1560
Cornell University,"ITHACA, NY",11%,"$28,921",1400-1560
Pomona College,"CLAREMONT, CA",7%,"$18,500",1390-1540
California Institute of Technology,"PASADENA, CA",6%,"$27,438",1530-1560
University of Southern California,"LOS ANGELES, CA",11%,"$37,521",1360-1530
Carnegie Mellon University,"PITTSBURGH, PA",15%,"$30,618",1460-1560
University of Notre Dame,"NOTRE DAME, IN",16%,"$30,536",1400-1550
Bowdoin College,"BRUNSWICK, ME",9%,"$23,808",1360-1510
Swarthmore College,"SWARTHMORE, PA",9%,"$20,360",1390-1540
Georgetown University,"WASHINGTON, DC",14%,"$28,442",1380-1550
Syracuse University,"SYRACUSE, NY",69%,"$47,177",1180-1380
University of Kansas,"LAWRENCE, KS",91%,"$20,054",1070-1320
University of Wisconsin,"MADISON, WI",54%,"$16,103",1300-1480
North Dakota State University,"FARGO, ND",94%,"$16,638",1050-1250
Texas A&M University,"COLLEGE STATION, TX",58%,"$19,237",1160-1390
Northwest Missouri State University,"MARYVILLE, MO",80%,"$13,375",990-1180
Mississippi State University,"MISSISSIPPI STATE, MS",80%,"$16,402",1050-1270
University of Tennessee,"KNOXVILLE, TN",78%,"$21,133",1140-1320
University of Georgia,"ATHENS, GA",45%,"$15,961",1240-1420
Grand Valley State University,"ALLENDALE, MI",83%,"$16,865",1050-1250
University of Washington,"SEATTLE, WA",56%,"$9,661",1200-1470
Indiana University - Bloomington,"BLOOMINGTON, IN",78%,"$13,036",1150-1360
University of Arizona,"TUCSON, AZ",85%,"$15,620",1090-1350
University of Minnesota Twin Cities,"MINNEAPOLIS, MN",57%,"$17,279",1260-1480
University of Oregon,"EUGENE, OR",84%,"$17,646",1090-1290
Arizona State University,"TEMPE, AZ",86%,"$14,081",1120-1360
University of Iowa,"IOWA CITY, IA",83%,"$17,008",1130-1340
Appalachian State University,"BOONE, NC",80%,"$10,687",1070-1240
University of Wisconsin - Whitewater,"WHITEWATER, WI",80%,"$12,522",890-1110
Texas Christian University,"FORT WORTH, TX",47%,"$37,509",1150-1350
Boston College,"CHESTNUT HILL, MA",27%,"$28,354",1340-1500
University of Nebraska - Lincoln,"LINCOLN, NE",78%,"$17,341",1110-1320
James Madison University,"HARRISONBURG, VA",77%,"$18,708",1120-1290
University of Florida,"GAINESVILLE, FL",37%,"$10,457",1310-1470
The University of Alabama,"TUSCALOOSA, AL",83%,"$20,623",1080-1340
Louisiana State University,"BATON ROUGE, LA",73%,"$20,352",1090-1300
University of Oklahoma,"NORMAN, OK",80%,"$21,804",1110-1310
University of North Carolina at Chapel Hill,"CHAPEL HILL, NC",23%,"$10,085",1310-1500
University of Connecticut,"STORRS, CT",56%,"$22,233",1170-1390
Florida State University,"TALLAHASSEE, FL",36%,"$12,568",1200-1340
The Ohio State University,"COLUMBUS, OH",54%,"$18,706",1250-1460
University of Maryland - College Park,"COLLEGE PARK, MD",44%,"$17,643",1270-1480
Clemson University,"CLEMSON, SC",51%,"$21,482",1230-1400
University of Texas - Austin,"AUSTIN, TX",32%,"$15,502",1230-1480
University of Miami,"CORAL GABLES, FL",27%,"$33,102",1270-1440
Michigan State University,"EAST LANSING, MI",71%,"$16,579",1100-1320
Baylor University,"WACO, TX",68%,"$40,133",1200-1380
Auburn University,"AUBURN, AL",81%,"$23,562",1150-1320
Villanova University,"VILLANOVA, PA",28%,"$36,840",1320-1470
University of Kentucky,"LEXINGTON, KY",96%,"$19,831",1070-1280
University of Louisville,"LOUISVILLE, KY",65%,"$17,894",1050-1270
University of South Carolina,"COLUMBIA, SC",69%,"$21,787",1180-1370
Penn State,"UNIVERSITY PARK, PA",56%,"$26,151",1160-1360
Georgia State University,"ATLANTA, GA",82%,"$17,750",1030-1260
University of Massachusetts - Boston,"BOSTON, MA",80%,"$17,231",1040-1220
University of Rochester,"ROCHESTER, NY",35%,"$36,254",1330-1510
California Institute of the Arts,"VALENCIA, CA",25%,"$59,367",
Babson College,"WELLESLEY, MA",26%,"$28,325",1270-1450
Rhode Island School of Design,"PROVIDENCE, RI",26%,"$40,048",1250-1470
Penn State Abington,"ABINGTON, PA",85%,"$18,792",1010-1270
Saint Leo University,"SAINT LEO, FL",73%,"$19,818",960-1150
